compound_ID,SMILES
compound_1242472,CCOc1ccc(-c2nn(C(C)C)c3ncnc(N)c23)cc1OC
compound_1242660,COc1cc(-c2nn(C(C)C)c3ncnc(N)c23)cc(OC)c1OC
compound_1242751,COc1cccc(-c2nn(C(C)C)c3ncnc(N)c23)c1OC
compound_1242752,CCOc1cc(-c2nn(C(C)C)c3ncnc(N)c23)ccc1OC
compound_1242847,COc1ccc(-c2nn(C(C)C)c3ncnc(N)c23)cc1
compound_1242848,CC(C)n1nc(-c2ccc(N)c(O)c2)c2c(N)ncnc21
compound_1241485,COc1cc(-c2nn(C(C)C)c3ncnc(N)c23)ccc1N
compound_1241486,COc1cc(-c2nn(C(C)C)c3ncnc(N)c23)ccc1NC(C)CO
compound_1241582,CC(C)n1nc(-c2cccc(CO)c2)c2c(N)ncnc21
compound_1241583,CC(C)n1nc(-c2cccc(CC#N)c2)c2c(N)ncnc21
compound_1240545,CC(C)n1nc(-c2ccc(CC#N)cc2)c2c(N)ncnc21
compound_1241679,CC(C)n1nc(-c2cccc(C#N)c2)c2c(N)ncnc21
compound_1241680,CC(C)n1nc(-c2ccc(F)c(C#N)c2)c2c(N)ncnc21
compound_1241771,CC(C)n1nc(-c2ccc(C#N)c(F)c2)c2c(N)ncnc21
compound_1241772,CC(C)n1nc(-c2ccc(C#N)nc2)c2c(N)ncnc21
compound_1241390,
compound_1241391,CC(C)n1nc(-c2cncnc2)c2c(N)ncnc21
compound_1241773,CC(=O)c1ccc(-c2nn(C(C)C)c3ncnc(N)c23)cc1
compound_1241860,CC(C)n1nc(-c2ccc(C=O)c(F)c2)c2c(N)ncnc21
compound_1241861,CC(C)n1nc(-c2cc(F)c(C=O)c(F)c2)c2c(N)ncnc21
compound_1241946,CC(=O)c1cccc(-c2nn(C(C)C)c3ncnc(N)c23)c1
compound_1241948,CC(C)n1nc(-c2cccc(NS(C)(=O)=O)c2)c2c(N)ncnc21
compound_1242030,CC(C)n1nc(-c2ccc(NS(C)(=O)=O)cc2)c2c(N)ncnc21
compound_1242031,CC(C)n1nc(-c2cccc(S(N)(=O)=O)c2)c2c(N)ncnc21
compound_1242032,CC(C)n1nc(-c2ccc(S(N)(=O)=O)cc2)c2c(N)ncnc21
compound_1241770,Nc1ncnc2c1c(-c1ccc(Cl)c(O)c1)nn2CC1CCNC1
compound_1241858,Nc1ncnc2c1c(-c1ccc(Cl)c(O)c1)nn2CC1CCCNC1
compound_1241859,Nc1ncnc2c1c(-c1ccc(Cl)c(O)c1)nn2CC1CCNCC1
compound_1241944,CC(C)n1nc(-c2ccc(C#N)c(O)c2)c2c(N)ncnc21
compound_1241945,CC(C)n1nc(-c2ccc(O)c(F)c2)c2c(N)ncnc21
compound_1242028,CC(C)n1nc(-c2cc(F)c(O)cc2F)c2c(N)ncnc21
compound_1242029,COc1cccc(-c2nn(C(C)C)c3ncnc(N)c23)c1
compound_1242112,COc1cc(-c2nn(C(C)C)c3ncnc(N)c23)ccc1O
compound_1242114,COc1ccc(-c2nn(C(C)C)c3ncnc(N)c23)cc1O
compound_1242290,COc1ccc(-c2nn(C(C)C)c3ncnc(N)c23)cc1OC
compound_1242661,CCOc1ccc2cc(-c3nn(C)c4ncnc(N)c34)ccc2c1
compound_1242662,CC(C)n1nc(-c2ccc3cc(O)ccc3c2)c2c(N)ncnc21
compound_1242663,CC(C)n1nc(-c2cc3ccccc3nc2Cl)c2c(N)ncnc21
compound_1242754,CC(C)n1nc(-c2cnc3ccccc3c2)c2c(N)ncnc21
compound_1242756,Cn1nc(-c2ccc3ncccc3c2)c2c(N)ncnc21
compound_1241489,CC(C)n1nc(-c2ccc3ccccc3c2)c2c(N)ncnc21
compound_1231371,CC(C)(C)n1nc(-c2ccc3ccccc3c2)c2c(N)ncnc21
compound_1241682,Cc1ccc2cc(-c3nn(C(C)C)c4ncnc(N)c34)ccc2n1
compound_1241683,CC(C)n1nc(-c2ccc3nc(Cl)ccc3c2)c2c(N)ncnc21
compound_1241774,CC(C)n1nc(-c2ccc3nccnc3c2)c2c(N)ncnc21
compound_1241775,CC(C)n1nc(-c2cnc3nccnc3c2)c2c(N)ncnc21
compound_1241776,CC(C)n1nc(-c2ccc3nc[nH]c(=O)c3c2)c2c(N)ncnc21
compound_1241863,CC(C)n1nc(-c2ccc3[nH]c(=O)ccc3c2)c2c(N)ncnc21
compound_1241949,CC(C)n1nc(-c2ccc3nc(N)ccc3c2)c2c(N)ncnc21
compound_1241950,CC(C)n1nc(-c2ccc3nc(NN)ccc3c2)c2c(N)ncnc21
compound_1242034,CC(C)n1nc(-c2ccc3nccc(N)c3c2)c2c(N)ncnc21
compound_1242118,CC(C)n1nc(-c2ccc3occc(=O)c3c2)c2c(N)ncnc21
compound_1242207,CC(C)n1nc(-c2ccc3cnccc3c2)c2c(N)ncnc21
compound_1242208,CC(C)n1nc(-c2ccc3ccncc3c2)c2c(N)ncnc21
compound_1242209,Cc1ccc2ccc(-c3nn(C(C)C)c4ncnc(N)c34)cc2n1
compound_1242293,CC(C)n1nc(-c2cnc3[nH]ccc3c2)c2c(N)ncnc21
compound_1242294,CC(C)n1nc(-c2ccc3[nH]ccc3c2)c2c(N)ncnc21
compound_1242384,
compound_1242386,CC(C)n1nc(-c2ccc3[nH]ncc3c2)c2c(N)ncnc21
compound_1242476,CC(C)n1nc(-c2ccc3c(N)n[nH]c3c2)c2c(N)ncnc21
compound_1242477,CC(C)n1nc(-c2ccc3cn[nH]c3c2)c2c(N)ncnc21
compound_1242573,CC(C)n1nc(-c2cc(F)c3cn[nH]c3c2)c2c(N)ncnc21
compound_1242574,CC(C)n1nc(-c2ccc3cc[nH]c3c2)c2c(N)ncnc21
compound_1242665,CC(C)n1nc(-c2ccn3ccnc3c2)c2c(N)ncnc21
compound_1242666,CC(C)n1nc(-c2ccc3c(C=O)c[nH]c3c2)c2c(N)ncnc21
compound_1242757,CC(C)n1nc(-c2cccc3[nH]ccc23)c2c(N)ncnc21
compound_1242852,CC(C)n1nc(-c2ccc3c(ccn3C(=O)OC(C)(C)C)c2)c2c(N)ncnc21
compound_1241490,
compound_1241492,CC(C)n1nc(-c2ccc3nonc3c2)c2c(N)ncnc21
compound_1241586,CC(C)n1nc(-c2ccc3[nH]c(=O)[nH]c3c2)c2c(N)ncnc21
compound_1241587,CC(C)n1nc(-c2ccc3c(c2)CCO3)c2c(N)ncnc21
compound_1241588,CC(C)n1nc(-c2ccc3c(c2)OCCO3)c2c(N)ncnc21
compound_1784630,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc(NC2CC2)nc1
compound_1784629,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1ccc(C(N)=O)nc1
compound_1784628,CCC(=O)Nc1ccc(C#Cc2cc(C(=O)Nc3ccc(CN4CCN(C)CC4)c(C(F)(F)F)c3)ccc2C)cn1
compound_1784627,CC(=O)Nc1ccc(C#Cc2cc(C(=O)Nc3ccc(CN4CCN(C)CC4)c(C(F)(F)F)c3)ccc2C)cn1
compound_1784626,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cncnc1
compound_1784625,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cccnc1
PAINS_001,c1ccc(c(c1)O)O
compound_1784641,CC(=O)Nc1ncc(C#Cc2cc(C(=O)Nc3ccc(CN4CCN(C)CC4)c(C(F)(F)F)c3)ccc2C)s1
compound_1784640,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc(N)s1
compound_1784636,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc(C(=O)NCCO)n1C
