,SMILES,IC50_nM
52,Cn1nc(C(N)=O)c2c1-c1nc(NC3CCN(C(=O)c4ccccc4)CC3)ncc1CC2,10000.0
53,CNC(=O)c1nn(C)c2c1CCc1cnc(NC3CCN(C(=O)C4CCN(S(C)(=O)=O)CC4)CC3)nc1-2,10000.0
54,CC(C)CC(=O)Nc1n[nH]c2c1CN(C(=O)C1CCN(C)CC1)C2(C)C,10000.0
55,CC(C)(C)C(=O)N1Cc2c(NC(=O)c3cc(F)cc(F)c3)n[nH]c2C1(C)C,10000.0
56,COc1ccc(N2CCN(C)CC2)cc1Nc1ncc2c(n1)-c1c(c(C(N)=O)nn1C)CC2,10000.0
57,CC(C)COC(=O)Nc1ccc(-c2cnc3c(-c4ccc(N5CCN(C)CC5)cc4)cnn3c2N)cc1,10000.0
58,O=C(O)C(F)(F)F.O=C(c1ccc(-c2cnc3c(c2)N(Cc2ccccc2)CCN3)cc1)N1CCC[C@H]1CN1CCCC1,256.0
59,O=C1CNc2ncc(-c3ccc(C(=O)N4CCC[C@H]4CN4CCCC4)cc3)cc2N1Cc1ccccc1,10000.0
60,O=C(c1ccc(-c2cnc3c(c2)N(Cc2c(Cl)cccc2Cl)CCN3)cc1)N1CCC[C@H]1CN1CCCC1,27.0
61,O=C1CNc2ncc(-c3ccc(C(=O)N4CCC[C@H]4CN4CCCC4)cc3)cc2N1Cc1c(Cl)cccc1Cl,278.0
62,O=C(c1ccc(-c2cnc3c(c2)N(Cc2cc(F)ccc2F)CCN3)cc1)N1CCC[C@H]1CN1CCCC1,15.0
63,O=C1CNc2ncc(-c3ccc(C(=O)N4CCC[C@H]4CN4CCCC4)cc3)cc2N1Cc1cc(F)ccc1F,145.0
64,CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3cc(F)ccc3F)CCN4)cn2)CC1,33.0
65,CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3cc(Cl)ccc3C(F)(F)F)CCN4)cn2)CC1,10.0
66,CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3c(Cl)cccc3C(F)(F)F)CCN4)cn2)CC1,506.0
67,CN1CCN(c2ccc(-c3cnc4c(c3)N(Cc3cc(Cl)ccc3Cl)CCN4)cn2)CC1,11.0
